failure_run_id,success_run_id,workflow_name,failure_display_title,success_display_title,failure_time,success_time,failure_run_time,success_run_time,time_to_recover,total_number_of_steps,failure_step_number,failure_step_name,failure_job_started_at,failure_job_completed_at,failed_step_started_at,failed_step_completed_at,failure_step_run_time,time_to_recover_seconds,time_difference,proportion_of_steps_that_didnt_fail,category,normalized_timed_to_recover,normalized_time_diff,normalized_proportion_of_step_that_didnt_fail,frequency
3695906089,3695924885,CLI,chore: update Go dependencies,chore: update Go dependencies,2022-12-14T14:48:06Z,2022-12-14T14:56:57Z,0.011666667,0.120833333,0.1475,42,6,Build Linux and Darwin,2022-12-14T14:47:34Z,2022-12-14T14:47:54Z,2022-12-14T20:47:43.000+06:00,2022-12-14T20:47:54.000+06:00,0.003055556,531,392.9999976,0.142857143,Build,,,,
4251201355,4287117222,CLI,Bump golang.org/x/text from 0.3.7 to 0.3.8,build: update Go to 1.20,2023-02-23T09:33:55Z,2023-02-27T21:50:12Z,0.025,0.112222222,108.2713889,14,9,Test,2023-02-23T09:32:35Z,2023-02-23T09:33:47Z,2023-02-23T15:33:35.000+06:00,2023-02-23T15:33:45.000+06:00,0.002777778,389777,313.9999992,0.642857143,Testing,,,,
4287100555,4287117222,CLI,build: update Go to 1.20,build: update Go to 1.20,2023-02-27T21:41:27Z,2023-02-27T21:50:12Z,0.008888889,0.112222222,0.145833333,41,6,Build Linux and Darwin,2023-02-27T21:41:05Z,2023-02-27T21:41:19Z,2023-02-28T03:41:18.000+06:00,2023-02-28T03:41:18.000+06:00,0,524.9999988,371.9999988,0.146341463,Build,,,,
4287220412,4287251241,CLI,chore: update Go dependencies,chore: update Go dependencies,2023-02-27T22:00:55Z,2023-02-27T22:09:06Z,0.022777778,0.091388889,0.136388889,14,6,Build Linux and Darwin,2023-02-27T21:59:41Z,2023-02-27T22:00:35Z,2023-02-28T03:59:50.000+06:00,2023-02-28T04:00:33.000+06:00,0.011944444,491.0000004,246.9999996,0.428571429,Build,,,,
4555384075,5436178188,CLI,Bump github.com/opencontainers/runc from 1.1.0 to 1.1.5,Update rustc functional tests to v1.70.0,2023-03-29T16:10:39Z,2023-07-02T11:08:19Z,1.350833333,0.088888889,2274.961111,83,11,Run tests,2023-03-29T14:57:58Z,2023-03-29T15:00:04Z,2023-03-29T20:58:22.000+06:00,2023-03-29T21:00:01.000+06:00,0.0275,8189860,-4542.999998,0.13253012,Testing,,,,
5427616004,5436178188,CLI,Add DCO and CoC,Update rustc functional tests to v1.70.0,2023-06-30T23:00:51Z,2023-07-02T11:08:19Z,0.100833333,0.088888889,36.12444444,83,11,Run tests,2023-06-30T22:59:10Z,2023-06-30T23:00:50Z,2023-07-01T04:59:47.000+06:00,2023-07-01T05:00:48.000+06:00,0.016944444,130048,-42.9999984,0.13253012,Testing,,,,
5427619601,5436178188,CLI,Add DCO and CoC,Update rustc functional tests to v1.70.0,2023-06-30T23:01:14Z,2023-07-02T11:08:19Z,0.092777778,0.088888889,36.11805556,83,11,Run tests,2023-06-30T22:59:32Z,2023-06-30T23:01:13Z,2023-07-01T04:59:59.000+06:00,2023-07-01T05:01:12.000+06:00,0.020277778,130025,-14.0000004,0.13253012,Testing,,,,
5427745174,5436178188,CLI,Merge pull request #1233 from getsops/add-dco-coc,Update rustc functional tests to v1.70.0,2023-06-30T23:23:06Z,2023-07-02T11:08:19Z,0.099722222,0.088888889,35.75361111,83,11,Run tests,2023-06-30T23:21:28Z,2023-06-30T23:23:05Z,2023-07-01T05:21:50.000+06:00,2023-07-01T05:23:02.000+06:00,0.02,128713,-38.9999988,0.13253012,Testing,,,,
5435889217,5436178188,CLI,build: update Go to 1.20,Update rustc functional tests to v1.70.0,2023-07-02T09:53:15Z,2023-07-02T11:08:19Z,0.108333333,0.088888889,1.251111111,88,11,Run tests,2023-07-02T09:51:43Z,2023-07-02T09:53:14Z,2023-07-02T15:52:09.000+06:00,2023-07-02T15:53:13.000+06:00,0.017777778,4504,-69.9999984,0.125,Testing,,,,
5435892634,5436178188,CLI,build: update Go to 1.20,Update rustc functional tests to v1.70.0,2023-07-02T09:53:12Z,2023-07-02T11:08:19Z,0.089722222,0.088888889,1.251944444,88,11,Run tests,2023-07-02T09:51:40Z,2023-07-02T09:53:11Z,2023-07-02T15:52:06.000+06:00,2023-07-02T15:53:08.000+06:00,0.017222222,4506.999998,-2.9999988,0.125,Testing,,,,
5469050086,5474701043,CLI,Bump google.golang.org/grpc from 1.45.0 to 1.53.0,Do not report version when upstream check fails,2023-07-05T21:21:43Z,2023-07-06T11:10:30Z,0.028333333,0.090277778,13.81305556,14,9,Test,2023-07-05T21:20:09Z,2023-07-05T21:21:21Z,2023-07-06T03:21:17.000+06:00,2023-07-06T03:21:19.000+06:00,0.000555556,49727.00002,223.000002,0.642857143,Testing,,,,
